City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,bambous virieux,-20.3428,57.7575,26.23,89,75,0.0,MU,1678031159
84,tocopilla,-22.092,-70.1979,23.69,76,88,1.83,CL,1678031160
85,aksaray,38.3726,34.0254,14.87,31,100,10.06,TR,1678031160
86,codrington,-38.2667,141.9667,14.62,81,52,6.94,AU,1678031160
87,panzhihua,26.5851,101.7128,15.36,41,53,0.14,CN,1678031161
88,east london,-33.0153,27.9116,21.52,94,75,2.57,ZA,1678031161
89,bastia,42.6667,9.3333,13.89,75,40,2.06,FR,1678031161
90,provideniya,64.3833,-173.3,0.34,99,100,5.31,RU,1678031162
91,bengkulu,-3.8004,102.2655,24.31,89,62,1.38,ID,1678031162
92,bereda,43.2686,-7.5406,12.86,64,56,2.5,ES,1678031163
93,nizwa,22.9333,57.5333,26.58,21,10,1.88,OM,1678031163
94,bachaquero,9.9694,-71.1494,29.76,66,85,3.47,VE,1678031163
95,ostrovnoy,68.0531,39.5131,-12.69,91,100,3.2,RU,1678031164
96,barrow,71.2906,-156.7887,-22.99,70,100,9.77,US,1678031164
97,san patricio,28.017,-97.5169,24.93,52,1,4.37,US,1678031165
98,ha tinh,18.3333,105.9,17.26,91,1,0.79,VN,1678031165
99,saint-philippe,-21.3585,55.7679,24.77,85,100,2.23,RE,1678031165
100,ingham,42.6,-84.3833,4.91,74,0,2.06,US,1678031166
101,bethel,41.3712,-73.414,8.13,64,0,2.57,US,1678031166
102,tasiilaq,65.6145,-37.6368,-2.91,86,21,1.92,GL,1678031167
103,port elizabeth,-33.918,25.5701,22.28,99,100,5.66,ZA,1678031167
104,christchurch,-43.5333,172.6333,10.51,95,75,1.54,NZ,1678031167
105,kyra,49.5776,111.9753,-5.78,81,98,1.92,RU,1678031168
106,miles city,46.4083,-105.8406,-2.46,93,100,10.29,US,1678031168
107,leningradskiy,69.3833,178.4167,-21.82,97,100,3.56,RU,1678031169
